STATE,zipcode,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,A00200,N00200,N00300,A00300,SCHF,N02300,A02300,N02500,A02500,N06500,A06500,N10300,A10300,N19700,A19700
GA,31072,480,170,220,80,340,1020,350,0,0,0,0,0,120,130,19663,490,19865,13689,380,120,96,50,30,85,90,1041,290,1298,350,1542,100,588
GA,31075,1020,350,430,210,640,2250,850,0,0,0,0,0,300,190,42490,1020,42845,32605,870,180,110,40,50,118,120,1467,620,2919,740,3249,220,1268
GA,31076,1190,480,360,330,760,2350,870,0,0,0,0,0,330,270,49060,1190,49432,36302,980,230,104,80,70,132,160,1898,720,3517,800,3848,320,1569
GA,31077,400,150,180,80,340,890,310,0,0,0,0,0,90,110,15772,400,15930,10910,310,120,77,70,30,79,60,594,230,1018,280,1163,80,516
GA,31078,1380,550,420,410,740,2840,1120,0,0,0,0,0,380,300,50047,1380,50458,39196,1190,200,78,30,60,87,170,1857,750,3230,870,3527,290,1361
GA,31079,1040,370,390,280,710,2300,910,0,0,0,0,0,360,280,38808,1040,39238,28651,840,250,192,130,40,104,130,1485,520,2670,670,3102,170,992
GA,31082,4370,1780,1270,1270,2880,8900,3490,0,0,0,0,160,1510,1030,205888,4370,207678,137982,3710,1020,1700,170,90,208,610,8141,2380,20300,2790,22051,1150,9369
GA,31085,390,140,150,90,220,930,410,0,0,0,0,0,90,80,16041,390,16144,12976,340,60,50,0,0,0,40,468,220,1139,260,1267,80,285
GA,31087,3100,1210,660,1200,1490,6140,2460,0,0,0,0,60,1090,820,110009,3100,110896,73160,2540,510,344,70,140,282,490,5528,1500,8840,1800,9456,700,3361
GA,31088,24540,10150,8920,4930,9540,50580,18530,1100,280,830,0,320,5360,4880,1348616,24540,1362075,994370,20810,6570,4846,70,530,1617,3060,39541,16560,134783,18310,141553,7160,42554
