"","STATE","zipcode","N1","NUMDEP","A00100","SCHF","A06500","A10300","A19700"
"186","GA",30336,690,500,84709,0,20726,21400,5174
"187","GA",30337,5090,3990,192379,0,20640,21071,5591
"188","GA",30338,16770,10570,2164190,40,372186,391971,69268
"189","GA",30339,15760,4610,1961658,30,352840,371315,94528
"190","GA",30340,13670,13080,536841,0,48201,55172,10896
"191","GA",30341,14860,10900,928400,0,119959,128306,19779
"192","GA",30342,14700,11390,2615278,40,552758,585861,133015
"193","GA",30344,14870,11500,503421,0,40791,44998,16318
"194","GA",30345,11870,8310,1214396,20,198713,211167,38685
"195","GA",30346,3150,930,269926,0,44448,46071,3243
"196","GA",30349,34360,28230,1242844,0,90994,100732,53432
"197","GA",30350,17780,9280,2091762,30,403097,424738,74980
"198","GA",30354,6560,6500,194226,0,12601,14402,4674
"199","GA",30360,7060,6220,408412,0,48086,52420,9083
"200","GA",30363,1730,370,160487,0,28908,30346,3231
"201","GA",30401,5150,4620,190124,190,14636,16311,5024
"202","GA",30410,620,450,29016,50,2543,2718,762
"203","GA",30411,960,820,34180,80,2271,2522,1063
"204","GA",30413,630,500,23189,60,1586,1758,686
"205","GA",30415,2950,2260,149033,110,13308,14394,3232
"206","GA",30417,3800,3260,160986,200,13139,14297,3849
"207","GA",30420,710,580,25816,60,1758,1973,549
"208","GA",30421,1180,910,47424,100,3557,3995,1152
"209","GA",30425,510,450,20413,50,1464,1614,348
"210","GA",30426,400,320,16421,30,1399,1603,293
"211","GA",30427,4270,3860,177388,290,15474,16832,4459
"212","GA",30428,820,660,31905,90,2109,2445,731
"213","GA",30434,2200,1970,80038,100,5583,6368,2760
"214","GA",30436,4430,3970,178475,240,13660,15032,7507
"215","GA",30439,3760,3310,146905,200,11035,12272,5075
"216","GA",30441,750,640,27489,80,1932,2186,593
"217","GA",30442,2840,2410,101294,190,7354,8221,2771
"218","GA",30445,1060,900,38505,60,2601,2884,1063
"219","GA",30446,560,480,23525,40,1724,1931,628
"220","GA",30450,1000,890,33263,70,2132,2461,739
"221","GA",30452,660,460,27812,40,2493,2701,832
"222","GA",30453,2370,2300,99430,110,9680,10424,2916
"223","GA",30454,230,170,9754,30,645,690,223
"224","GA",30455,270,180,9368,0,654,653,95
"225","GA",30456,760,720,27911,40,1904,1999,648
"226","GA",30457,2150,1750,81588,160,5922,6601,2050
"227","GA",30458,13230,8580,565901,200,58583,62368,18740
"228","GA",30461,5800,4500,341106,160,37748,40031,9662
"229","GA",30467,4690,3620,191561,280,15329,16611,5259
"230","GA",30470,340,270,17565,50,1523,1611,480
"231","GA",30471,1620,1390,59274,100,4274,4858,1065
"232","GA",30473,1020,820,41216,70,3361,3714,857
"233","GA",30474,6050,5130,289286,170,28646,30656,9599
"234","GA",30477,1280,1230,45569,40,3696,4095,1508
"235","GA",30501,11810,13550,574902,30,67480,72367,19320
"236","GA",30504,11470,12480,523906,0,48406,52351,14699
"237","GA",30506,18760,12750,1432531,190,190948,202518,55347
"238","GA",30507,11890,13160,455390,50,30064,33707,9926
"239","GA",30510,2650,2240,104657,50,7484,8225,2122
"240","GA",30511,1490,1290,62044,60,4719,5219,1497
"241","GA",30512,7460,3690,364177,160,34244,37230,10500
"242","GA",30513,4690,2520,234813,50,24539,27274,5454
"243","GA",30516,790,750,30589,60,2013,2333,610
"244","GA",30517,6120,4870,558691,40,84339,89122,25260
"245","GA",30518,21570,19110,1363712,30,155118,166176,35014
"246","GA",30519,20430,16330,1378717,50,164378,175838,39673
"247","GA",30520,1670,1360,66621,130,4857,5539,1224
"248","GA",30521,2050,1490,88443,230,7031,8075,1823
"249","GA",30522,510,180,26233,0,2688,2888,575
"250","GA",30523,5300,3120,306368,150,33273,35996,11873
"251","GA",30525,3500,2240,161236,60,16047,17890,3815
"252","GA",30527,1830,1230,124223,80,12685,13687,5534
"253","GA",30528,9170,6010,411861,210,35277,39129,11240
"254","GA",30529,4720,3650,196952,80,15646,16892,4646
"255","GA",30530,2470,1910,112746,130,9559,10444,2601
"256","GA",30531,4680,4210,217768,60,19049,20811,6519
"257","GA",30533,9900,5620,494738,140,48664,53132,10069
"258","GA",30534,11770,7640,737092,170,87477,93489,16509
"259","GA",30535,2950,1890,145356,40,13651,14789,4375
"260","GA",30536,2970,1690,153916,120,15222,16786,3429
"261","GA",30537,530,270,26853,0,2691,2940,614
"262","GA",30538,1210,850,45952,60,3233,3608,1058
"263","GA",30540,7260,5190,341198,100,33421,36432,14825
"264","GA",30541,760,460,32149,0,2602,2938,591
"265","GA",30542,15730,11230,1058772,40,125797,133582,33996
"266","GA",30543,1870,1730,80100,80,5842,6568,1568
"267","GA",30545,540,220,23588,0,2078,2324,438
"268","GA",30546,3200,1350,162477,60,16792,18231,4833
"269","GA",30547,1410,1000,66504,100,5308,5899,1356
"270","GA",30548,8100,5650,667646,70,84374,88739,20677
"271","GA",30549,9790,8160,579749,170,57372,61209,15350
"272","GA",30552,620,330,47774,0,6163,6665,1280
"273","GA",30553,3030,2180,148950,130,15308,16431,3624
"274","GA",30554,3220,2360,149036,130,12442,13638,3283
"275","GA",30555,930,530,36190,0,2894,3397,631
"276","GA",30557,1910,1230,81983,110,7500,8233,1601
"277","GA",30558,2190,1620,94663,90,7956,8727,2008
"278","GA",30559,1640,960,79507,30,7975,8860,1858
"279","GA",30560,1860,890,83887,20,7491,8326,1815
"280","GA",30563,2160,1700,99352,40,7824,8470,2503
"281","GA",30564,2010,1280,105991,50,9854,10920,4690
"282","GA",30565,1980,1610,88574,70,7282,7850,1557
"283","GA",30566,4090,3140,187566,0,18547,20083,4248
"284","GA",30567,1370,1020,73859,40,6979,7584,1673
"285","GA",30568,810,460,35644,0,3058,3383,743
"286","GA",30571,1330,560,85668,30,8884,9610,2460
"287","GA",30572,430,200,23584,0,2494,2762,486
"288","GA",30575,660,570,28006,30,2086,2335,639
"289","GA",30576,1060,620,55402,0,4774,5398,1424
"290","GA",30577,8490,5920,395482,160,42454,46240,9175
"291","GA",30582,1980,870,97128,30,9422,10010,2487
"292","GA",30601,8190,6660,247410,20,18090,20408,3713
"293","GA",30605,14710,7460,689958,60,73287,77765,19295
"294","GA",30606,17910,10410,1266889,80,184081,193833,47404
"295","GA",30607,4570,4500,216684,30,22042,23718,6272
"296","GA",30619,680,410,38579,30,3826,4080,785
"297","GA",30620,5440,4690,282846,40,24241,26145,6324
"298","GA",30621,2140,1980,219095,60,35041,36612,7248
